id,source_proposal,title,description,category,dataset,artifact_kind,query_type,platform,mitre,validation_status,performance_rating,file
N021,TH-001,Threat Hunting - PowerShell Encoded Command Launch Candidates,"Finds process-start records for Windows PowerShell or pwsh with selected encoded-command launch switches and a Base64-shaped argument. Returns image, user, initiating-process and signature context; matching does not validate the payload or prove successful or malicious execution.",Threat Hunting / PowerShell,"[""xdr_data""]",QUERY_CANDIDATE,Threat Hunting,Cortex XSIAM / XQL Search,"[{""technique"": ""T1059.001"", ""relationship"": ""Investigation context"", ""rationale"": ""An encoded-command launch may warrant investigation when its user, origin, payload or change context is unexpected."", ""validation"": ""Contextual mapping, not evidence of adversarial intent.""}]",NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/threat-hunting/powershell/n021-threat-hunting-powershell-encoded-command-launch-candidates.xql
N022,TH-021,Threat Hunting - Domain Account Discovery - Net User Query Attempts,Finds net.exe or net1.exe process starts requesting primary-domain user listings or a single user detail view with an explicit /domain switch. Restricts command shapes to exclude account-changing arguments; results show query attempts and require administrative context and outcome verification.,Threat Hunting / Account Discovery,"[""xdr_data""]",QUERY_CANDIDATE,Threat Hunting,Cortex XSIAM / XQL Search,"[{""technique"": ""T1087.002"", ""relationship"": ""Investigation context"", ""rationale"": ""Unexpected domain user listing or lookup attempts may support account-discovery investigation."", ""validation"": ""Contextual mapping, not evidence of adversarial intent.""}]",NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/threat-hunting/account-discovery/n022-threat-hunting-domain-account-discovery-net-user-query-attempts.xql
N023,OP-001,Investigation - Port 3389 Network Activity - RDP Candidates,"Returns endpoint-associated TCP or UDP network records with local or remote port 3389 over one day, including direction, protocol and initiating-process context. The port identifies RDP candidates only; records do not establish an authenticated session, application identity or unauthorized access.",Investigation / Network Activity,"[""xdr_data""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / XQL Search,N/A,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/investigation/network-activity/n023-investigation-port-3389-network-activity-rdp-candidates.xql
N024,OP-005,Investigation - Selected Endpoint Network Event Timeline,"Returns the newest 1000 network records within one day for a required stable endpoint ID, preserving local and remote tuples, operation subtype, direction, success flag and initiating-process context. This is an observation timeline rather than a reconstruction of unique sessions or firewall decisions.",Investigation / Network Activity,"[""xdr_data""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / XQL Search,N/A,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/investigation/network-activity/n024-investigation-selected-endpoint-network-event-timeline.xql
N025,OP-008,Dashboard - Outbound Destination Ports - Network Event Volume by Endpoint,"Ranks outgoing endpoint-associated TCP and UDP network event rows by stable endpoint ID, IP protocol, remote port and operation subtype over one day. Keeps hostnames as context and excludes unknown direction or invalid ports; counts are event volume, not unique connections or identified applications.",Dashboard / Network Activity,"[""xdr_data""]",QUERY_CANDIDATE,Dashboard,Cortex XSIAM / XQL Search,N/A,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/dashboard/network-activity/n025-dashboard-outbound-destination-ports-network-event-volume-by-endpoint.xql
N026,OP-011,Investigation - Selected Endpoint Process Start Timeline,"Returns the newest 1000 process-start records within one day for a required stable endpoint ID, with started-process command line, user, hash, signature and initiating-process context. Ordering describes observed timestamps and does not reconstruct ancestry, process lifetime or current running state.",Investigation / Process Activity,"[""xdr_data""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / XQL Search,N/A,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/investigation/process-activity/n026-investigation-selected-endpoint-process-start-timeline.xql
N027,TH-002,Threat Hunting - Office Command Shells and Subsequent Activity,"Preserves verified Office-to-cmd process-start anchors and a ten-minute downstream command, download, write and network timeline after ancestry/source binding. Downloads require actual download evidence; a connection alone is not a download.",Threat Hunting / Execution,"[""xdr_data"", ""{{OFFICE_DESCENDANT_ACTIVITY_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1059.003"", ""technique"": ""Windows Command Shell"", ""tactics"": ""Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/execution/n027-threat-hunting-office-command-shells-and-subsequent-activity.xql
N028,TH-003,Threat Hunting - WMI Child Processes with Request Origin,"Reviews verified WmiPrvSE child starts with time-qualified WMI request source, account, namespace, result and management-baseline context. Missing traces remain unassessed.",Threat Hunting / Execution,"[""xdr_data"", ""{{WMI_TRACE_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1047"", ""technique"": ""Windows Management Instrumentation"", ""tactics"": ""Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/execution/n028-threat-hunting-wmi-child-processes-with-request-origin.xql
N029,TH-004,Threat Hunting - Mshta URL or Script References and Follow-on Activity,"Finds mshta start records containing URL or script-protocol text and preserves a ten-minute child-process, network and download evidence timeline after relationship binding.",Threat Hunting / Proxy Execution,"[""xdr_data"", ""{{MSHTA_ACTIVITY_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1218.005"", ""technique"": ""Mshta"", ""tactics"": ""Stealth (TA0005)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/proxy-execution/n029-threat-hunting-mshta-url-or-script-references-and-follow-on-activity.xql
N030,TH-005,Threat Hunting - Rundll32 Module Paths and Unusual Argument Candidates,Reviews rundll32 URL/script/UNC command references or correlated module loads under user/profile/temporary path segments. Actual module identity is retained separately from argument heuristics.,Threat Hunting / Proxy Execution,"[""xdr_data""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1218.011"", ""technique"": ""Rundll32"", ""tactics"": ""Stealth (TA0005)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/proxy-execution/n030-threat-hunting-rundll32-module-paths-and-unusual-argument-candidates.xql
N031,TH-006,Threat Hunting - Scheduled Task Configuration Change Review,"Reviews task creation and modification configurations against the current approved configuration snapshot, preserving subject, XML author, actions, triggers, principal and run level.",Threat Hunting / Persistence,"[""{{APPROVED_TASKS_DATASET}}"", ""{{TASK_AUDIT_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1053.005"", ""technique"": ""Scheduled Task"", ""tactics"": ""Persistence (TA0003); Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/persistence/n031-threat-hunting-scheduled-task-configuration-change-review.xql
N032,TH-007,Threat Hunting - New Services in Profile or Temporary Paths,Preserves successful service-install records whose configured executable path matches a profile/temporary heuristic and adds first observed same-path process-start context within one hour.,Threat Hunting / Persistence,"[""xdr_data"", ""{{SERVICE_INSTALL_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1543.003"", ""technique"": ""Windows Service"", ""tactics"": ""Persistence (TA0003); Privilege Escalation (TA0004)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/persistence/n032-threat-hunting-new-services-in-profile-or-temporary-paths.xql
N033,TH-008,Threat Hunting - Run Key and Startup Artifact Mutations,"Combines successful Run/RunOnce value mutations with configured Startup-folder file mutations, retaining writer identity and the configured execution target when observed.",Threat Hunting / Persistence,"[""{{RUN_REGISTRY_DATASET}}"", ""{{STARTUP_FILES_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1547.001"", ""technique"": ""Registry Run Keys / Startup Folder"", ""tactics"": ""Persistence (TA0003)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/persistence/n033-threat-hunting-run-key-and-startup-artifact-mutations.xql
N034,TH-009,Threat Hunting - Permanent WMI Subscription Registrations,"Reviews permanent WMI filter, consumer and binding registrations/changes and resolves configured query/consumer targets through a validated object-state source.",Threat Hunting / Persistence,"[""{{WMI_OBJECT_STATE_DATASET}}"", ""{{WMI_SUBSCRIPTIONS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1546.003"", ""technique"": ""Windows Management Instrumentation Event Subscription"", ""tactics"": ""Persistence (TA0003)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/persistence/n034-threat-hunting-permanent-wmi-subscription-registrations.xql
